splitting_index,Edge,Edge_Diff,N1_X,N1_Y,N2_X,N2_Y,Load_G1,Load_G2
60,"(23, 56)",19.749999999999996,962411.0101085,1720288.505549,962411.8261084999,1720285.594549,21.029999999999998,1.28
61,"(79, 86)",20.349999999999998,962620.4831085,1720652.066549,962617.7461085,1720652.448549,21.33,0.98
62,"(86, 85)",20.349999999999998,962617.7461085,1720652.448549,962576.6451085,1720657.780549,21.33,0.98
63,"(85, 84)",20.349999999999998,962576.6451085,1720657.780549,962554.1681085001,1720663.617549,21.33,0.98
64,"(84, 83)",20.349999999999998,962554.1681085001,1720663.617549,962536.1631085,1720671.269549,21.33,0.98
65,"(83, 82)",20.349999999999998,962536.1631085,1720671.269549,962499.7041084999,1720683.422549,21.33,0.98
66,"(82, 81)",20.349999999999998,962499.7041084999,1720683.422549,962461.1381085,1720696.277549,21.33,0.98
67,"(81, 80)",20.349999999999998,962461.1381085,1720696.277549,962459.1941084999,1720696.925549,21.33,0.98
68,"(80, 87)",20.349999999999998,962459.1941084999,1720696.925549,962421.3701084999,1720709.330549,21.33,0.98
69,"(87, 88)",20.349999999999998,962421.3701084999,1720709.330549,962383.4341084999,1720722.2545490002,21.33,0.98
70,"(88, 89)",20.349999999999998,962383.4341084999,1720722.2545490002,962345.4981084999,1720734.760549,21.33,0.98
71,"(89, 90)",20.349999999999998,962345.4981084999,1720734.760549,962307.5621084999,1720747.266549,21.33,0.98
72,"(90, 91)",20.349999999999998,962307.5621084999,1720747.266549,962268.7921084999,1720757.688549,21.33,0.98
73,"(91, 92)",20.349999999999998,962268.7921084999,1720757.688549,962230.4401085,1720770.6125490002,21.33,0.98
74,"(92, 93)",20.349999999999998,962230.4401085,1720770.6125490002,962192.5041085,1720781.034549,21.33,0.98
75,"(93, 94)",20.349999999999998,962192.5041085,1720781.034549,962153.7341085,1720794.7915490002,21.33,0.98
76,"(94, 95)",20.349999999999998,962153.7341085,1720794.7915490002,962116.9331085,1720805.1905490002,21.33,0.98
77,"(3, 58)",20.389999999999997,962754.4841085,1720459.803549,962748.3241085,1720458.634549,21.349999999999998,0.96
78,"(58, 57)",20.389999999999997,962748.3241085,1720458.634549,962730.0751085,1720454.486549,21.349999999999998,0.96
79,"(61, 62)",20.63,962747.0681085,1720384.604549,962737.5741085,1720419.3425490002,21.47,0.84
80,"(62, 69)",20.63,962737.5741085,1720419.3425490002,962737.3541085001,1720420.147549,21.47,0.84
81,"(34, 35)",20.849999999999998,962491.3041085,1720256.8625490002,962447.9581085001,1720257.2415490001,21.58,0.73
82,"(9, 10)",20.889999999999997,962787.5301085,1720255.405549,962798.4871085,1720254.622549,21.599999999999998,0.71
83,"(10, 49)",20.889999999999997,962798.4871085,1720254.622549,962818.2371085,1720253.7915490002,21.599999999999998,0.71
84,"(49, 53)",21.31,962818.2371085,1720253.7915490002,962820.3271085001,1720253.703549,21.81,0.5
85,"(53, 54)",21.31,962820.3271085001,1720253.703549,962859.4081085001,1720252.784549,21.81,0.5
86,"(54, 4)",21.31,962859.4081085001,1720252.784549,962897.1861085,1720255.267549,21.81,0.5
87,"(4, 5)",21.31,962897.1861085,1720255.267549,962932.7731085,1720255.267549,21.81,0.5
88,"(5, 21)",21.31,962932.7731085,1720255.267549,962934.9541084999,1720255.267549,21.81,0.5
89,"(21, 22)",21.31,962934.9541084999,1720255.267549,962974.9741084999,1720255.132549,21.81,0.5
90,"(26, 40)",22.150000000000002,962391.5961084999,1720379.7445490002,962359.1301084999,1720388.732549,22.23,0.08
91,"(138, 14)",22.31,962776.3661081556,1720345.465549362,962776.3661084999,1720345.465549,0.0,22.31
