Peano Meter,Final Voltage A (V),Final Voltage B (V),Final Voltage C (V),Distance to Transformer (m),Load A (kW),Load B (kW),Load C (kW),Group,Phases,Meter X,Meter Y,New Phase,New Load A,New Load B,New Load C
17304954,216.48803341738838,222.10155445379715,225.0688490891547,417.2122555561161,0.1,0.0,0.0,Group 2,A,1100713.3491085,1650678.711549,B,0.0,0.1,0.0
6100612089,214.94703749851377,222.2010773323243,225.05787102503933,506.8148883148983,0.27,0.0,0.0,Group 2,A,1100682.9681085,1650599.1095490002,A,0.27,0.0,0.0
6300304407,214.84507936469637,222.2010773323243,225.05787102503933,534.8077791582697,0.01,0.0,0.0,Group 2,A,1100688.6071085,1650611.647549,A,0.01,0.0,0.0
5901166052,227.55398627106908,229.34820280460892,228.8533571527244,173.55007995417648,0.22,0.0,0.0,Group 1,A,1101026.8551085,1650976.922549,A,0.22,0.0,0.0
28119897,227.53986941195961,229.30895725510834,228.7097198015628,121.41240468991931,0.27,0.0,0.0,Group 1,A,1101030.1851085,1650924.7925490001,C,0.0,0.0,0.27
5600570080,223.06568522971952,214.46514885998397,225.3707965819536,712.7396635773474,0.0,0.1,0.0,Group 1,B,1101397.8501085,1650936.979549,C,0.0,0.0,0.1
22039980,227.51101769711866,228.73718944469573,229.07349944211072,302.10244079505856,0.09,0.0,0.0,Group 1,A,1100818.4871085,1650896.824549,A,0.09,0.0,0.0
22040038,227.51101769711866,228.73718944469573,229.07349944211072,302.10244079505856,0.0,0.0,0.0,Group 1,A,1100817.8641085,1650893.002549,A,0.0,0.0,0.0
6001243173,227.0669514094173,229.1001649987081,228.05380173063125,210.29715251106535,0.25,0.0,0.0,Group 1,A,1100946.0171085,1650928.4435490002,A,0.25,0.0,0.0
23960767,224.25146199669013,225.58514908187271,225.80306532776567,136.64934234133466,0.0,0.0,0.13,Group 2,C,1100995.3601085,1650657.029549,A,0.13,0.0,0.0
5900547156,224.73551513003457,226.08221081292476,225.82066499028147,207.00439483886052,0.2,0.0,0.0,Group 2,A,1101043.9061085,1650574.742549,B,0.0,0.2,0.0
6000143123,220.25063905754135,222.1827120299445,225.23329609762717,291.13348982337936,0.0,0.21,0.0,Group 2,B,1100859.1101085,1650631.843549,A,0.21,0.0,0.0
22456439,220.25063905754135,222.1827120299445,225.23329609762717,291.13348982337936,0.0,0.21,0.0,Group 2,B,1100863.0741085,1650631.201549,A,0.21,0.0,0.0
6101209905,228.7128101055801,229.17039051178733,229.48234722112932,87.10954993531685,0.0,1.14,0.0,Group 1,B,1100986.7951085,1650852.6775490001,B,0.0,1.14,0.0
5900989036,229.87631673160794,229.91647166783127,229.95350305965354,7.824257223834014,0.03,0.0,0.0,Group 1,A,1101067.2821085,1650857.233549,B,0.0,0.03,0.0
19717515,225.0521937404855,228.37570285378936,228.4208327792176,193.7308551460155,0.54,0.0,0.0,Group 1,A,1101002.2291085,1650738.4575490002,A,0.54,0.0,0.0
B597258,227.99814909496004,229.35442116735956,229.42428956517531,205.45752248303378,0.0,0.02,0.0,Group 1,B,1101235.3821085,1650767.6735490002,C,0.0,0.0,0.02
21375007,228.68539534271451,228.26824751353053,229.25268854752593,41.342855414352705,0.15,0.0,0.0,Group 1,A,1101125.3801085,1650859.630549,A,0.15,0.0,0.0
19181038,224.2505720516351,221.8660961915165,226.38561140617108,216.09863262475744,0.0,0.0,0.18,Group 1,C,1101305.0371085,1650867.4675490002,B,0.0,0.18,0.0
6000947571,223.32283682758532,221.9645648588059,225.6425757366605,287.2634523792657,0.09,0.0,0.0,Group 1,A,1101280.4301085,1650792.434549,C,0.0,0.0,0.09
22039997,222.9783809716426,216.0966478190318,225.71469806668463,459.5509050309914,0.0,0.07,0.0,Group 1,B,1101463.1841085,1650785.485549,C,0.0,0.0,0.07
28464602,222.8739136852875,215.92435092386776,225.68805723909355,535.9280558377799,0.0,0.26,0.0,Group 1,B,1101382.8601085,1650799.181549,A,0.26,0.0,0.0
19717459,223.8683389043416,220.4543861234822,226.2355426401582,260.4306275943574,0.0,0.0,0.0,Group 1,B,1101334.9111085,1650868.3055490002,C,0.0,0.0,0.0
A114368,223.1566112659204,215.21341640343235,225.65885332680637,484.4251555777626,0.0,0.16,0.0,Group 1,B,1101562.9001085,1650843.2215490001,B,0.0,0.16,0.0
5900987781,223.1566112659204,215.01862367918702,225.65885332680637,517.7643906181206,0.0,0.21,0.0,Group 1,B,1101594.9341085,1650837.586549,B,0.0,0.21,0.0
5801415234,223.1566112659204,215.01862367918702,225.65885332680637,517.7643906181206,0.0,0.07,0.0,Group 1,B,1101595.5601085,1650841.5855490002,B,0.0,0.07,0.0
6300253844,221.29386951208033,226.74507727994717,226.69300423802935,250.87816747573987,0.0,0.0,0.19,Group 1,C,1101078.6501085,1650637.434549,A,0.19,0.0,0.0
25604819,223.90098945241746,222.07848858793412,226.12576276907177,237.06051102861116,0.0,0.0,0.13,Group 1,C,1101289.6831085,1650834.926549,C,0.0,0.0,0.13
6201233119,222.85788121772524,224.59358912794244,225.44611011793248,174.81102063253465,0.33,0.0,0.0,Group 2,A,1100954.6691085,1650657.2685490001,A,0.33,0.0,0.0
28462861,228.09596751012344,229.41386851237968,229.0936941495531,76.75131902428355,0.38,0.0,0.0,Group 1,A,1101093.0491085,1650925.7685490001,C,0.0,0.0,0.38
5800157739,224.25146199669013,225.58514908187271,225.80306532776567,136.64934234133466,0.0,0.57,0.0,Group 2,B,1100984.2091085,1650654.658549,A,0.57,0.0,0.0
5900987289,223.85611006079148,220.3807758808713,226.2277172349743,262.74235530322744,0.0,0.01,0.0,Group 1,B,1101355.3661085,1650866.530549,A,0.01,0.0,0.0
5600570172,222.8739136852875,215.92350683655187,225.68805723909355,538.5546812392599,0.0,0.08,0.0,Group 1,B,1101377.7731085,1650798.424549,B,0.0,0.08,0.0
6300349048,223.22837092829116,221.99741253678638,225.7815684627253,319.93314675701043,0.11,0.0,0.0,Group 1,A,1101319.2381085,1650800.128549,A,0.11,0.0,0.0
5900987759,216.23213880198608,222.10155445379715,225.0688490891547,484.4364460519861,0.15,0.0,0.0,Group 2,A,1100642.8561085,1650686.505549,A,0.15,0.0,0.0
21431492,216.85624527527196,222.10155445379715,225.0688490891547,376.9248776477245,0.0,0.14,0.0,Group 2,B,1100738.2251085,1650675.527549,B,0.0,0.14,0.0
24039508,216.53499386717954,222.2010773323243,225.05787102503933,380.8685360160745,0.16,0.0,0.0,Group 2,A,1100779.7511085,1650643.6195490002,C,0.0,0.0,0.16
B087908,214.84507936469637,222.2010773323243,225.05787102503933,534.8077791582697,0.05,0.0,0.0,Group 2,A,1100692.5211085,1650611.1165490001,A,0.05,0.0,0.0
